quota_definition__sid,quota__order_number,quota__geographical_areas,quota__headings,quota__commodities,quota__measurement_unit,quota__monetary_unit,quota_definition__description,quota_definition__validity_start_date,quota_definition__validity_end_date,quota_definition__suspension_periods,quota_definition__blocking_periods,quota_definition__status,quota_definition__last_allocation_date,quota_definition__initial_volume,quota_definition__balance,quota_definition__fill_rate
20815,50006,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304|0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0302410000|0303510000|0304595000|0304599010|0304992300,Kilogram (kg),#NA,#NA,01/01/2021,14/02/2021,#NA,#NA,Closed,28/01/2021,2022900,2022900,0
20814,50006,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304|0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0302410000|0303510000|0304595000|0304599010|0304992300,Kilogram (kg),#NA,#NA,16/06/2021,14/02/2022,#NA,#NA,Closed,#NA,2112000,2112000,0
21865,50006,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304|0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0302410000|0303510000|0304595000|0304599010|0304992300,Kilogram (kg),#NA,#NA,16/06/2022,14/02/2023,#NA,#NA,Future,#NA,2112000,#NA,0
20816,50007,ERGA OMNES,0305 – ,0305511010|0305511020|0305519010|0305519020|0305531000|0305620020|0305620025|0305620050|0305620060|0305691000|0305720010|0305720015|0305720020|0305720025|0305720030|0305720035|0305720050|0305720052|0305720056|0305720060|0305720062|0305720064|0305790010|0305790015|0305790020|0305790025|0305790030|0305790035|0305790050|0305790052|0305790056|0305790060|0305790062|0305790064,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,30/12/2021,2000,5093.1,0
21866,50007,ERGA OMNES,0305 – ,0305511010|0305511020|0305519010|0305519020|0305531000|0305620020|0305620025|0305620050|0305620060|0305691000|0305720010|0305720015|0305720020|0305720025|0305720030|0305720035|0305720050|0305720052|0305720056|0305720060|0305720062|0305720064|0305790010|0305790015|0305790020|0305790025|0305790030|0305790035|0305790050|0305790052|0305790056|0305790060|0305790062|0305790064,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,28/02/2022,2000,106.696,0.946652
20817,50008,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304",0302311000|0302321000|0302331000|0302341000|0302351100|0302359100|0302361000|0302392000|0302491100|0302892100|0303411000|0303422000|0303431000|0303441000|0303451200|0303459100|0303461000|0303492000|0303592100|0303892100,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,29000,29000,0
21867,50008,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304",0302311000|0302321000|0302331000|0302341000|0302351100|0302359100|0302361000|0302392000|0302491100|0302892100|0303411000|0303422000|0303431000|0303441000|0303451200|0303459100|0303461000|0303492000|0303592100|0303892100,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,29000,29000,0
20818,50009,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304",0302541910|0303661911|0303661919,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,09/11/2021,1000,0,1
21868,50009,ERGA OMNES,"0302 – Fish, fresh or chilled, excluding fish fillets and other fish meat of heading|0304|0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304",0302541910|0303661911|0303661919,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,1000,1000,0
20819,50013,ERGA OMNES,"4412 – Plywood, veneered panels and similar laminated wood",4412390010|4412419900|4412419910|4412490000|4412490010|4412919900|4412919910|4412998510|4412999000|4412999010,Cubic meter (m3),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,17/05/2021,167352,0,1
21869,50013,ERGA OMNES,"4412 – Plywood, veneered panels and similar laminated wood",4412390010|4412419900|4412419910|4412490000|4412490010|4412919900|4412919910|4412998510|4412999000|4412999010,Cubic meter (m3),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,22/03/2022,167352,49782.162,0.702530224
20820,50023,ERGA OMNES,7202 – Ferro-alloys,7202491020|7202495011,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,146000,146000,0
21870,50023,ERGA OMNES,7202 – Ferro-alloys,7202491020|7202495011,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,146000,146000,0
20821,50027,ERGA OMNES,"0805 – Citrus fruit, fresh or dried",0805290021|0805290029,Kilogram (kg),#NA,#NA,01/02/2021,30/04/2021,#NA,#NA,Closed,#NA,69000,69000,0
21871,50027,ERGA OMNES,"0805 – Citrus fruit, fresh or dried",0805290021|0805290029,Kilogram (kg),#NA,#NA,01/02/2022,30/04/2022,#NA,#NA,Open,#NA,69000,69000,0
20822,50035,ERGA OMNES,"0712 – Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",712200000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,21/12/2021,2304000,543864.67,0.763947626
21751,50035,ERGA OMNES,"0712 – Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",712200000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,15/03/2022,2230000,1857562.8,0.167012197
20823,50039,ERGA OMNES,"0805 – Citrus fruit, fresh or dried",805501000,Kilogram (kg),#NA,#NA,15/01/2021,14/06/2021,#NA,#NA,Closed,#NA,1844000,1844000,0
21872,50039,ERGA OMNES,"0805 – Citrus fruit, fresh or dried",805501000,Kilogram (kg),#NA,#NA,15/01/2022,14/06/2022,#NA,#NA,Open,#NA,1844000,1844000,0
20824,50040,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809290000,Kilogram (kg),#NA,#NA,21/05/2021,15/07/2021,#NA,#NA,Closed,#NA,695000,695000,0
21752,50040,ERGA OMNES,"0809 – Apricots, cherries, peaches (including nectarines), plums and sloes, fresh",809290000,Kilogram (kg),#NA,#NA,21/05/2022,15/07/2022,#NA,#NA,Future,#NA,649000,#NA,0
20825,50041,ERGA OMNES,"0802 – Other nuts, fresh or dried, whether or not shelled or peeled",0802119000|0802129000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,06/07/2021,4042000,4025035.645,0.00419702
21753,50041,ERGA OMNES,"0802 – Other nuts, fresh or dried, whether or not shelled or peeled",0802119000|0802129000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,01/03/2022,3777000,3769980,0.001858618
20827,50043,ERGA OMNES,"1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground",1104229500,Kilogram (kg),#NA,#NA,01/01/2021,30/06/2021,#NA,#NA,Closed,25/05/2021,9729205,9709169,0.002059367
20826,50043,ERGA OMNES,"1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground",1104229500,Kilogram (kg),#NA,#NA,01/07/2021,30/06/2022,#NA,#NA,Open,19/10/2021,9769000,9749012,0.002046064
21873,50043,ERGA OMNES,"1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground",1104229500,Kilogram (kg),#NA,#NA,01/07/2022,30/06/2023,#NA,#NA,Future,#NA,9769000,#NA,0
20828,50046,ERGA OMNES,"1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1605400030,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,08/12/2021,35000,15000,0.571428571
21874,50046,ERGA OMNES,"1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1605400030,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,35000,35000,0
20829,50047,ERGA OMNES,"1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1605211040|1605219040|1605290040,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,17/09/2021,26000,0,1
